Wall time,Step,Value
1677882067.407517,0,1.0624970197677612
1677882322.110676,1,0.7687294483184814
1677882567.809893,2,0.7005757689476013
1677882823.164182,3,0.6386198401451111
1677883078.762142,4,0.5563787221908569
1677883325.881329,5,0.5084971189498901
1677883573.321245,6,0.39569544792175293
1677883822.936608,7,0.42243701219558716
1677884070.502058,8,0.34597980976104736
1677884318.468606,9,0.36450934410095215
1677884565.62824,10,0.3313608169555664
1677884813.413988,11,0.2562374174594879
1677885060.722756,12,0.20453611016273499
1677885310.601198,13,0.18249253928661346
1677885559.979919,14,0.18667072057724
1677885808.820847,15,0.19128605723381042
1677886057.880178,16,0.1681986004114151
1677886307.256263,17,0.13778485357761383
1677886564.10974,18,0.1137658879160881
1677886811.076782,19,0.11827981472015381
1677887060.463803,20,0.10349734127521515
1677887309.531816,21,0.09201623499393463
1677887559.320861,22,0.10770761221647263
1677887808.21907,23,0.10536099970340729
1677888058.797827,24,0.07227658480405807
1677888306.651137,25,0.06426600366830826
1677888555.693482,26,0.05763225257396698
1677888812.100355,27,0.05075941979885101
1677889068.442016,28,0.06676784157752991
1677889316.286103,29,0.053240373730659485
1677889572.995495,30,0.03959597274661064
1677889819.782869,31,0.036797259002923965
1677890067.562984,32,0.0387321338057518
1677890315.740831,33,0.03636396676301956
1677890573.982083,34,0.03262202441692352
1677890820.384893,35,0.0332462340593338
1677891068.209004,36,0.028951961547136307
1677891315.7216,37,0.023138990625739098
1677891572.094753,38,0.023916004225611687
1677891819.8945,39,0.019880689680576324
1677892066.692331,40,0.01745454967021942
1677892313.765686,41,0.022006774321198463
1677892569.726882,42,0.018764842301607132
1677892816.584103,43,0.01636957935988903
1677893071.404725,44,0.01617559976875782
1677893317.976803,45,0.015315390191972256
1677893564.174571,46,0.017097851261496544
1677893812.402196,47,0.012907165102660656
1677894059.393763,48,0.009545037522912025
1677894307.28758,49,0.012783917598426342
