Wall time,Step,Value
1677745987.621472,0,3.054049491882324
1677746193.516902,1,2.4285972118377686
1677746397.686897,2,2.202946186065674
1677746601.410391,3,1.6767038106918335
1677746801.584195,4,1.2681989669799805
1677747002.548784,5,1.2512160539627075
1677747203.319573,6,1.1560118198394775
1677747404.984238,7,0.810542106628418
1677747606.617133,8,0.6149883270263672
1677747811.998355,9,0.5215464234352112
1677748021.156843,10,0.49180594086647034
1677748230.435791,11,0.35718706250190735
1677748436.809366,12,0.3274669945240021
1677748645.331941,13,0.30363497138023376
1677748853.881177,14,0.25234365463256836
1677749066.148226,15,0.24762354791164398
1677749273.791424,16,0.2258087545633316
1677749487.044405,17,0.1974482238292694
1677749697.987485,18,0.195456862449646
1677749910.933729,19,0.154159277677536
1677750120.732167,20,0.16104629635810852
1677750325.707879,21,0.1582082062959671
1677750530.098455,22,0.15128283202648163
1677750730.895729,23,0.119642473757267
1677750933.798706,24,0.10212647169828415
1677751137.585029,25,0.10061506927013397
1677751342.802831,26,0.08636931329965591
1677751548.875687,27,0.08960805833339691
1677751750.549543,28,0.0824037566781044
1677751953.350345,29,0.07232898473739624
1677752155.532392,30,0.0654531940817833
1677752357.450014,31,0.06112877279520035
1677752561.282101,32,0.05269688740372658
1677752764.703428,33,0.053537238389253616
1677752968.592388,34,0.05185452848672867
1677753171.024455,35,0.04236435517668724
1677753372.883062,36,0.03575689345598221
1677753576.547668,37,0.039219729602336884
1677753778.021198,38,0.038413792848587036
1677753980.910577,39,0.034333471208810806
1677754187.600927,40,0.03516162186861038
1677754392.142888,41,0.027931246906518936
1677754596.315942,42,0.026651855558156967
1677754799.224218,43,0.022639885544776917
1677755006.453059,44,0.02032393403351307
1677755209.891184,45,0.01939477026462555
1677755412.84586,46,0.02245388552546501
1677755615.275677,47,0.020647849887609482
1677755819.882341,48,0.02271112985908985
1677756024.473562,49,0.01994163729250431
