Wall time,Step,Value
1650632470.820571,0,2.7804629802703857
1650632667.879988,1,2.228144884109497
1650632862.708461,2,1.9707491397857666
1650633060.343194,3,1.7124887704849243
1650633259.16489,4,1.320897102355957
1650633455.263506,5,1.2417409420013428
1650633653.02841,6,1.0647917985916138
1650633853.883629,7,1.0604944229125977
1650634056.08521,8,0.8259701132774353
1650634257.037297,9,0.6652068495750427
1650634455.329683,10,0.6389658451080322
1650634654.257285,11,0.5155158042907715
1650634852.263759,12,0.43773868680000305
1650635048.860897,13,0.4294194281101227
1650635245.345401,14,0.3461533188819885
1650635442.410072,15,0.3391910493373871
1650635641.373165,16,0.31529393792152405
1650635840.124124,17,0.2659526765346527
1650636036.90833,18,0.2583925127983093
1650636233.881539,19,0.2330445796251297
1650636433.103952,20,0.21007296442985535
1650636635.743039,21,0.19282746315002441
1650636837.779746,22,0.18144182860851288
1650637042.382848,23,0.16462931036949158
1650637244.591753,24,0.19476574659347534
1650637444.796004,25,0.16039137542247772
1650637643.384114,26,0.13087588548660278
1650637846.855385,27,0.11624367535114288
1650638050.634209,28,0.11559147387742996
1650638256.411963,29,0.10200874507427216
1650638462.673442,30,0.09224719554185867
1650638667.13277,31,0.08258065581321716
1650638873.004647,32,0.07434725761413574
1650639080.281214,33,0.09134750068187714
1650639285.327056,34,0.07199465483427048
1650639489.182101,35,0.05951964482665062
1650639690.42717,36,0.06082678586244583
1650639892.166163,37,0.0528574138879776
1650640092.420846,38,0.05402069538831711
1650640293.360778,39,0.048306792974472046
1650640495.759685,40,0.0462205596268177
1650640694.534408,41,0.04601384699344635
1650640892.038843,42,0.04888027906417847
1650641092.206287,43,0.040688108652830124
1650641291.865973,44,0.03503919020295143
1650641489.65412,45,0.033134255558252335
1650641689.030423,46,0.03000802733004093
1650641885.718021,47,0.02938273176550865
1650642085.166859,48,0.030579078942537308
1650642285.512152,49,0.031112778931856155
