Wall time,Step,Value
1651197222.167379,0,2.4864449501037598
1651197314.597856,1,1.021843671798706
1651197409.902573,2,2.4095892906188965
1651197502.874951,3,1.7102710008621216
1651197597.779417,4,1.3744871616363525
1651197691.054528,5,1.0658568143844604
1651197786.835796,6,0.8134400844573975
1651197879.774424,7,0.6651028394699097
1651197975.788929,8,0.7907378673553467
1651198071.50111,9,0.6466898322105408
1651198164.660238,10,0.5056442618370056
1651198257.366934,11,0.43481913208961487
1651198353.13621,12,0.3921392560005188
1651198446.260678,13,0.287515252828598
1651198539.366348,14,0.2786598801612854
1651198632.381076,15,0.26393598318099976
1651198725.695706,16,0.21154345571994781
1651198818.480416,17,0.20782312750816345
1651198913.632156,18,0.19555649161338806
1651199008.715849,19,0.17481480538845062
1651199101.956261,20,0.17448385059833527
1651199197.244234,21,0.1398933380842209
1651199293.134243,22,0.15864154696464539
1651199388.524564,23,0.12934161722660065
1651199481.753003,24,0.1228644847869873
1651199575.120951,25,0.12247209995985031
1651199671.121719,26,0.10942564904689789
1651199764.626995,27,0.10855153203010559
1651199857.730063,28,0.11089114099740982
1651199950.978037,29,0.09676545113325119
1651200044.306592,30,0.10341459512710571
1651200137.504897,31,0.0750126913189888
1651200230.631363,32,0.10423365980386734
1651200324.307615,33,0.07747164368629456
1651200417.817177,34,0.08146114647388458
1651200512.937375,35,0.07939766347408295
1651200609.884221,36,0.0745161697268486
1651200702.945855,37,0.06951440125703812
1651200798.780419,38,0.06908970326185226
1651200892.220917,39,0.07008711993694305
1651200985.49623,40,0.05176344886422157
1651201078.487684,41,0.05245755612850189
1651201171.859955,42,0.05924266576766968
1651201265.249002,43,0.051952194422483444
1651201361.264758,44,0.05177479609847069
1651201454.619168,45,0.054812174290418625
1651201547.72027,46,0.05611118674278259
1651201641.442072,47,0.047554876655340195
1651201734.609669,48,0.05603610351681709
1651201827.933368,49,0.047500044107437134
