Wall time,Step,Value
1651202038.004348,0,1.5034399032592773
1651202131.176292,1,1.175581932067871
1651202224.99926,2,0.9246748089790344
1651202318.661689,3,1.0237294435501099
1651202412.23076,4,1.131771206855774
1651202509.032549,5,0.8776682019233704
1651202604.959633,6,0.7200836539268494
1651202698.616338,7,0.5837712287902832
1651202795.456699,8,0.6448298096656799
1651202888.959007,9,0.5970481038093567
1651202985.291233,10,0.49634066224098206
1651203079.46208,11,0.39797496795654297
1651203175.24074,12,0.31866055727005005
1651203269.926053,13,0.38013505935668945
1651203366.051088,14,0.3716954290866852
1651203459.488851,15,0.2737824022769928
1651203555.798987,16,0.22497284412384033
1651203650.176095,17,0.2177601456642151
1651203746.346558,18,0.22588185966014862
1651203840.183014,19,0.1906004697084427
1651203936.545174,20,0.17711108922958374
1651204030.525758,21,0.13945983350276947
1651204124.305615,22,0.14231528341770172
1651204220.901357,23,0.1494981348514557
1651204317.820208,24,0.11705797165632248
1651204414.062607,25,0.1218743771314621
1651204508.493749,26,0.12133985757827759
1651204602.782199,27,0.12380387634038925
1651204696.962393,28,0.11405383050441742
1651204790.924043,29,0.08164922893047333
1651204885.502704,30,0.09600108116865158
1651204979.275497,31,0.07883614301681519
1651205073.357737,32,0.08722520619630814
1651205167.550652,33,0.07770249992609024
1651205261.087811,34,0.0665396973490715
1651205355.403037,35,0.06474018096923828
1651205449.774476,36,0.07325270771980286
1651205543.9527,37,0.054159216582775116
1651205637.983388,38,0.0579182431101799
1651205734.96964,39,0.058752719312906265
1651205829.418845,40,0.047024164348840714
1651205926.17878,41,0.04731365293264389
1651206022.849119,42,0.056339096277952194
1651206116.648959,43,0.04469764605164528
1651206213.245613,44,0.04904776066541672
1651206307.2973,45,0.047227829694747925
1651206403.809095,46,0.045987214893102646
1651206498.255787,47,0.03884268179535866
1651206594.834616,48,0.03212175890803337
1651206691.341755,49,0.029586998745799065
