Wall time,Step,Value
1677930066.595254,0,2.356515884399414
1677930225.978992,1,2.3240790367126465
1677930382.546022,2,2.2128713130950928
1677930543.247192,3,2.059680223464966
1677930702.15316,4,2.362436294555664
1677930860.960616,5,1.7868019342422485
1677931020.785829,6,1.7103631496429443
1677931179.04713,7,1.5942453145980835
1677931336.303076,8,1.5892912149429321
1677931496.002542,9,1.5129047632217407
1677931652.256217,10,1.4236420392990112
1677931807.856767,11,1.3239531517028809
1677931966.521382,12,1.2820810079574585
1677932125.958695,13,1.2452577352523804
1677932281.205277,14,1.249263048171997
1677932436.52301,15,1.1956546306610107
1677932590.70257,16,1.1244959831237793
1677932748.262934,17,1.0151004791259766
1677932904.664803,18,0.9659608006477356
1677933061.547324,19,0.885393500328064
1677933219.777788,20,0.8148165941238403
1677933377.3726,21,0.7994800806045532
1677933533.97984,22,0.7067736983299255
1677933690.281963,23,0.6901459693908691
1677933848.226005,24,0.6308676600456238
1677934007.324029,25,0.5977445840835571
1677934163.472695,26,0.5624293088912964
1677934320.326922,27,0.5328236222267151
1677934476.401676,28,0.49590328335762024
1677934631.993472,29,0.4639721214771271
1677934790.28056,30,0.4573201835155487
1677934944.71239,31,0.41987887024879456
1677935099.047837,32,0.40341007709503174
1677935254.583396,33,0.37620455026626587
1677935412.959909,34,0.3638274669647217
1677935571.045475,35,0.34396398067474365
1677935730.028135,36,0.3315145969390869
1677935889.784476,37,0.3210349977016449
1677936049.51067,38,0.28662094473838806
1677936209.420787,39,0.27761849761009216
1677936366.431191,40,0.266497403383255
1677936525.081448,41,0.2525712847709656
1677936682.286406,42,0.24638523161411285
1677936841.328363,43,0.23193009197711945
1677936999.396779,44,0.23058590292930603
1677937156.728617,45,0.22826094925403595
1677937314.513515,46,0.21183912456035614
1677937471.740152,47,0.19575543701648712
1677937629.358384,48,0.1978120505809784
1677937786.164476,49,0.18500074744224548
