Wall time,Step,Value
1650683454.314482,0,1.6234776973724365
1650683642.947141,1,0.9177152514457703
1650683828.135547,2,0.8831896781921387
1650684016.956095,3,0.7133777141571045
1650684209.346128,4,0.5868902206420898
1650684404.413843,5,0.9240031838417053
1650684590.95494,6,1.0612949132919312
1650684776.112963,7,2.0487942695617676
1650684961.651135,8,1.4865543842315674
1650685147.460914,9,1.105535626411438
1650685334.023049,10,0.7070658206939697
1650685524.534853,11,0.4655602276325226
1650685713.420921,12,0.36621880531311035
1650685899.212815,13,0.3213387727737427
1650686088.722527,14,0.25885385274887085
1650686277.399025,15,0.22458165884017944
1650686463.180777,16,0.18832726776599884
1650686650.339139,17,0.15151751041412354
1650686837.268426,18,0.14417515695095062
1650687024.671606,19,0.14550553262233734
1650687212.698002,20,0.12455286830663681
1650687403.774753,21,0.10677497088909149
1650687594.085509,22,0.09466812014579773
1650687782.714692,23,0.09540404379367828
1650687972.183618,24,0.09138835966587067
1650688161.001204,25,0.08752788603305817
1650688349.051349,26,0.07741342484951019
1650688537.563057,27,0.07406818866729736
1650688728.294783,28,0.07975857704877853
1650688921.472555,29,0.061557866632938385
1650689112.048667,30,0.06654025614261627
1650689298.747378,31,0.06456755101680756
1650689488.974944,32,0.05866697058081627
1650689679.29934,33,0.060260381549596786
1650689867.649494,34,0.05055360496044159
1650690057.896583,35,0.04412958398461342
1650690246.590031,36,0.054408278316259384
1650690437.391899,37,0.04080294072628021
1650690627.146005,38,0.04447075352072716
1650690814.345285,39,0.033050183206796646
1650691000.614048,40,0.030044136568903923
1650691187.608182,41,0.041131794452667236
1650691373.999959,42,0.04206698760390282
1650691560.80253,43,0.03487155959010124
1650691747.421125,44,0.03393944725394249
1650691933.639624,45,0.03539801016449928
1650692120.302799,46,0.0304038617759943
1650692306.225813,47,0.02714448980987072
1650692492.711017,48,0.031001349911093712
1650692679.866459,49,0.024362193420529366
