Wall time,Step,Value
1650693083.616092,0,2.221369743347168
1650693270.795259,1,1.3670871257781982
1650693457.545436,2,1.4272310733795166
1650693645.359612,3,1.9158005714416504
1650693832.629265,4,2.08819580078125
1650694023.678414,5,1.8124724626541138
1650694212.151796,6,1.5108213424682617
1650694402.867363,7,1.1701171398162842
1650694590.962001,8,0.9936537146568298
1650694780.131494,9,0.829433023929596
1650694969.262167,10,0.7092714905738831
1650695158.601055,11,0.6762737035751343
1650695348.283511,12,0.44017934799194336
1650695537.498614,13,0.3459092974662781
1650695724.683546,14,0.29133641719818115
1650695913.561596,15,0.27350202202796936
1650696100.176056,16,0.2210187017917633
1650696288.529994,17,0.21187038719654083
1650696477.236981,18,0.19657397270202637
1650696665.543067,19,0.17243707180023193
1650696853.229335,20,0.15901781618595123
1650697040.54237,21,0.144586980342865
1650697227.127966,22,0.13543426990509033
1650697414.165177,23,0.12261718511581421
1650697600.765485,24,0.11083687096834183
1650697790.489954,25,0.10687992721796036
1650697977.555649,26,0.09976035356521606
1650698165.698063,27,0.0943581610918045
1650698352.255062,28,0.08906563371419907
1650698540.945892,29,0.08602414280176163
1650698727.039488,30,0.09349815547466278
1650698914.724154,31,0.07200326770544052
1650699102.044699,32,0.07015732675790787
1650699289.216564,33,0.07258561998605728
1650699477.070901,34,0.05879652500152588
1650699666.773942,35,0.06660210341215134
1650699853.673743,36,0.052858300507068634
1650700042.653297,37,0.05288976430892944
1650700229.662619,38,0.04525993391871452
1650700417.81608,39,0.04595011845231056
1650700605.585206,40,0.04436089098453522
1650700793.29804,41,0.044458482414484024
1650700981.819784,42,0.04501543194055557
1650701168.98006,43,0.03873062506318092
1650701358.369744,44,0.04440322890877724
1650701548.507643,45,0.03388163074851036
1650701736.004984,46,0.040394313633441925
1650701923.415039,47,0.032030243426561356
1650702110.718647,48,0.035615354776382446
1650702298.358336,49,0.03299320861697197
