Wall time,Step,Value
1650670472.575505,0,2.789903163909912
1650670596.402391,1,2.6965208053588867
1650670719.276153,2,2.3054683208465576
1650670839.588842,3,2.174091339111328
1650670960.000079,4,1.7523741722106934
1650671083.310471,5,1.5546486377716064
1650671203.928216,6,1.25655996799469
1650671324.41017,7,1.1335821151733398
1650671448.107669,8,1.0299285650253296
1650671568.658244,9,0.8082174062728882
1650671691.599882,10,0.6842639446258545
1650671811.422542,11,0.5760372877120972
1650671934.938246,12,0.49453115463256836
1650672058.941816,13,0.42727130651474
1650672181.917771,14,0.39862340688705444
1650672303.422145,15,0.3473113179206848
1650672423.576574,16,0.32641667127609253
1650672544.395501,17,0.2677004039287567
1650672665.271534,18,0.23987025022506714
1650672785.722602,19,0.20107720792293549
1650672906.07593,20,0.2021992802619934
1650673028.400713,21,0.17944137752056122
1650673151.637986,22,0.158126100897789
1650673272.408355,23,0.1429641991853714
1650673392.635476,24,0.1279214769601822
1650673512.627367,25,0.11357159912586212
1650673635.788257,26,0.11586456745862961
1650673756.341213,27,0.0924547016620636
1650673876.69595,28,0.08605747669935226
1650673997.477126,29,0.07766074687242508
1650674117.240164,30,0.07855488359928131
1650674241.017322,31,0.06621702760457993
1650674361.462514,32,0.06698271632194519
1650674481.610872,33,0.06469900906085968
1650674601.812734,34,0.05737098306417465
1650674724.946503,35,0.0494704395532608
1650674845.577217,36,0.04603513330221176
1650674968.332121,37,0.042681142687797546
1650675092.018742,38,0.046547409147024155
1650675212.423548,39,0.040802471339702606
1650675333.135739,40,0.04033850133419037
1650675453.406873,41,0.03626682981848717
1650675573.743201,42,0.033082228153944016
1650675694.513142,43,0.03286129981279373
1650675818.087326,44,0.02891717292368412
1650675941.325447,45,0.02876516431570053
1650676061.692875,46,0.02672121673822403
1650676182.736169,47,0.0269482359290123
1650676303.458403,48,0.025798412039875984
1650676427.554156,49,0.02227725274860859
