Wall time,Step,Value
1650664352.881845,0,3.0136678218841553
1650664471.36691,1,2.3377106189727783
1650664589.791749,2,2.182323455810547
1650664710.459091,3,1.4862968921661377
1650664829.135119,4,1.463519811630249
1650664947.663126,5,1.509843349456787
1650665065.887486,6,1.2885183095932007
1650665186.884159,7,1.0799195766448975
1650665305.360976,8,0.852597713470459
1650665423.32538,9,0.7502046227455139
1650665541.625529,10,0.6413944959640503
1650665659.851874,11,0.5760939717292786
1650665781.113155,12,0.5384743213653564
1650665900.484947,13,0.4964772164821625
1650666022.030617,14,0.456327348947525
1650666143.060042,15,0.41655316948890686
1650666264.403344,16,0.3835064172744751
1650666385.646062,17,0.35849085450172424
1650666506.498004,18,0.33542400598526
1650666625.267219,19,0.3023097813129425
1650666746.405479,20,0.27694910764694214
1650666864.829235,21,0.26221024990081787
1650666984.733039,22,0.23716837167739868
1650667107.218968,23,0.2114197313785553
1650667225.798573,24,0.19595028460025787
1650667344.615702,25,0.18638254702091217
1650667466.017044,26,0.15637066960334778
1650667584.604271,27,0.15332071483135223
1650667703.006058,28,0.13139916956424713
1650667821.394178,29,0.12774808704853058
1650667940.196995,30,0.12752963602542877
1650668061.505981,31,0.1129496842622757
1650668182.316804,32,0.10768474638462067
1650668300.934102,33,0.10003397613763809
1650668419.963026,34,0.09810895472764969
1650668541.150976,35,0.08324230462312698
1650668662.574537,36,0.07545775920152664
1650668783.627129,37,0.06428266316652298
1650668902.826022,38,0.07212097942829132
1650669021.58873,39,0.07262608408927917
1650669143.492544,40,0.0646083801984787
1650669265.703811,41,0.05816546455025673
1650669387.556107,42,0.047158244997262955
1650669508.979081,43,0.055412013083696365
1650669630.817834,44,0.05000096932053566
1650669749.997149,45,0.04770579934120178
1650669872.03111,46,0.047445666044950485
1650669993.51372,47,0.045614950358867645
1650670115.588363,48,0.04597950354218483
1650670234.569513,49,0.04575059562921524
