Wall time,Step,Value
1650735504.469824,0,3.0374064445495605
1650735748.366472,1,2.740372896194458
1650735992.845775,2,2.0735011100769043
1650736238.086496,3,1.6599124670028687
1650736483.692596,4,1.3848744630813599
1650736730.523389,5,1.2711466550827026
1650736973.455008,6,1.160463809967041
1650737218.177739,7,0.9324201941490173
1650737462.132595,8,0.760408341884613
1650737706.394841,9,0.6892672181129456
1650737951.193019,10,0.5199877023696899
1650738195.758214,11,0.45627081394195557
1650738439.582298,12,0.4061896502971649
1650738684.634601,13,0.3367269039154053
1650738931.958676,14,0.3195379078388214
1650739181.696008,15,0.310523122549057
1650739431.643133,16,0.27970317006111145
1650739677.558002,17,0.23140673339366913
1650739921.846921,18,0.21434727311134338
1650740164.372922,19,0.1976679265499115
1650740411.392562,20,0.20010241866111755
1650740662.123574,21,0.18822097778320312
1650740907.009843,22,0.15620122849941254
1650741152.978988,23,0.14988110959529877
1650741398.783439,24,0.13450588285923004
1650741647.700029,25,0.11843813210725784
1650741893.397106,26,0.11064644902944565
1650742136.195134,27,0.09641319513320923
1650742377.976435,28,0.10205554962158203
1650742619.628747,29,0.0888010635972023
1650742866.080267,30,0.0799226313829422
1650743111.175552,31,0.07065512239933014
1650743353.648922,32,0.06865327805280685
1650743600.007753,33,0.06417216360569
1650743844.628227,34,0.060357458889484406
1650744091.317828,35,0.06476720422506332
1650744335.89446,36,0.05470852926373482
1650744577.804105,37,0.048678118735551834
1650744820.332204,38,0.053915295749902725
1650745066.274439,39,0.046402204781770706
1650745312.462191,40,0.04861423745751381
1650745554.937228,41,0.0369342565536499
1650745801.819289,42,0.0439307726919651
1650746047.312512,43,0.03723053261637688
1650746292.623158,44,0.03664972633123398
1650746534.857875,45,0.032860174775123596
1650746778.007287,46,0.035681501030921936
1650747021.173346,47,0.03273759037256241
1650747264.160527,48,0.02729044482111931
1650747511.944219,49,0.029333587735891342
