Wall time,Step,Value
1677812418.785718,0,2.1545259952545166
1677812574.419881,1,1.7439749240875244
1677812729.130752,2,2.2466378211975098
1677812884.070705,3,2.2131764888763428
1677813039.332324,4,1.7088532447814941
1677813197.468872,5,1.4547654390335083
1677813356.777774,6,1.1931884288787842
1677813517.185318,7,1.2382478713989258
1677813675.342345,8,1.1912468671798706
1677813836.797213,9,0.9270816445350647
1677813998.613326,10,0.90436190366745
1677814160.34574,11,0.7859169244766235
1677814320.985026,12,0.6742206811904907
1677814478.856357,13,0.6715054512023926
1677814640.078361,14,0.5978199243545532
1677814798.880008,15,0.5517496466636658
1677814955.199566,16,0.5255112051963806
1677815112.795929,17,0.4261472523212433
1677815268.780756,18,0.44470807909965515
1677815424.823433,19,0.4052349925041199
1677815582.3712,20,0.321976900100708
1677815737.563337,21,0.2917989194393158
1677815893.977875,22,0.26343655586242676
1677816050.135537,23,0.2698976397514343
1677816205.590743,24,0.22685553133487701
1677816364.309409,25,0.2203620970249176
1677816523.685798,26,0.19136205315589905
1677816681.442361,27,0.18396799266338348
1677816836.643422,28,0.17470814287662506
1677816995.726208,29,0.1502600908279419
1677817152.438457,30,0.12851624190807343
1677817307.86053,31,0.1328381896018982
1677817464.554071,32,0.13116097450256348
1677817620.700174,33,0.10743611305952072
1677817779.728368,34,0.12415838986635208
1677817937.928075,35,0.105228953063488
1677818093.082649,36,0.10857037454843521
1677818249.813926,37,0.09411027282476425
1677818408.649718,38,0.09312283247709274
1677818567.694019,39,0.08033923804759979
1677818725.541052,40,0.07306758314371109
1677818885.309135,41,0.077283576130867
1677819042.823806,42,0.087631955742836
1677819201.663406,43,0.07564178854227066
1677819360.06376,44,0.06813640892505646
1677819516.638899,45,0.06114320456981659
1677819677.667829,46,0.057285115122795105
1677819836.866537,47,0.0729001834988594
1677819996.169483,48,0.05488782376050949
1677820151.685278,49,0.06581614911556244
